===========================================
Starting tracing

PrimaryAuthManager Version: ...SF. (Release)

Platform: Linux

Time now: Mon 20 Nov 2023 16:20:07 UTC

Local time now: Mon 20 Nov 2023 16:20:07

Module: /opt/Citrix/ICAClient/PrimaryAuthManager

Module start time: Mon 20 Nov 2023 16:20:07 UTC

Module start local time: Mon 20 Nov 2023 16:20:07

===========================================
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       IsPlugin=false
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       ProcessModel=InProcess
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       SSONCheckEnabled=true
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       FallbackOnError=UnsuitableProtocol
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   Auth Form Plugin Configuration:
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .       No plugin configuration found
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   }
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   static void AM::Utilities::CLinuxDependencies::InitializeCoreDependencies()
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   {
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   CAMSSLContextTracker created.
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   AM::CLinuxSSLContext::CLinuxSSLContext(const AM::Networking::CXUrl&)
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   }
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main    initSmartCard=false
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   {
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   }
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   CAuthenticatorSingleUseFactory::CAuthenticatorSingleUseFactory
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   {
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   }
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   CAuthenticatorSingleUseFactory::CreateInstance
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   {
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   protocol=ag
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   CAuthenticatorSingleUseFactory::CreateBuiltInInstance
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   {
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   protocolName=ag builtInAuthenticatorName=agbuiltin
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   .   }
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   }
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   AM::Networking::CWrappedComCookieJar::CWrappedComCookieJar(CitrixAuthManagerSDK::CClientCommLib*)
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   {
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   }
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   CPrimaryAuthImpl::SetAuthenticatorSupport
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   {
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   }
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   CPrimaryAuthImpl::Authenticate
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   {
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   CAGFormsAuthImpl::Authenticate
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   {
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   CAGFormsGateway::CAGFormsGateway url='https://office.rku-it.de/' sslTransportAuth='None' formsStartPath=/nf/auth/startWebview.do
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   StartUrl=https://office.rku-it.de/nf/auth/startWebview.do
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   StartData=<?xml version="1.0" encoding="UTF-8" standalone="no" ?>
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   <AGStartData>
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .     <RequestVpnCapableSession>false</RequestVpnCapableSession>
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .     <ReceiverIdUrlStr>https://office.rku-it.de/</ReceiverIdUrlStr>
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .     <SslTransportAuth>None</SslTransportAuth>
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   </AGStartData>
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   CClientComAuthenticatorSupport::GetAdditionalHeaders
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   {
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   .   .   }
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   CLinuxResourceKeeper::CLinuxResourceKeeper
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   {
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   .   .   }
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   CFormsSubProtocol::CFormsSubProtocol
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   {
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   .   Supports image labels: true
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   .   .   }
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   CFormsSubProtocol::Execute
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   {
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   CFormsSubProtocolPluginHelper::CFormsSubProtocolPluginHelper
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   {
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   .   .   .   }
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   CFormsSubProtocol::CreateHttpTransactionChain
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   {
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   .   AM::Networking::CLinuxHttpTransaction::CLinuxHttpTransaction(AM::CAMSSLContext::Sptr)
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   .   {
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   .   .   .   virtual const wstring AM::CLinuxSSLContext::GetDebugState() const
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   .   .   .   CLinuxHttpTransaction::SetSSLContext: Server: '' State: 'ClientCertificate_Unset' Certificate: '(none)'
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   .   .   .   .   }
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   .   CFormsSubProtocol::WrapForClientCertAuthIfNeeded
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   .   {
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   .   .   .   Wrapping for client cert auth
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   .   .   .   .   }
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   .   .   .   }
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   CAGFormsAuthImpl::OnSubProtocolStart
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   {
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   .   .   Setting up GET request
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   .   .   formsStartUrl=https://office.rku-it.de/nf/auth/startWebview.do
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   .   CTranslatingHttpTransaction::SetUrl directUrl=https://office.rku-it.de/nf/auth/startWebview.do
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   .   {
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   .   .   .   .   }
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   .   .   .   }
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   CFormsSubProtocol::InitializeSslContext
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   {
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   .   CAMSSLContextTracker::GetContextFor 'https://office.rku-it.de/nf/auth/startWebview.do'
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   .   {
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   .   .   .   Context not found
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   .   .   .   .   }
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   .   .   AM::CLinuxSSLContext::CLinuxSSLContext(const AM::Networking::CXUrl&)
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   .   .   .   }
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   CSavedCredentialsManager::CSavedCredentialsManager
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   {
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   .   .   saveCredentialsKey=https://office.rku-it.de/
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   .   .   allowSavedCredentials=false
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   .   CSavedCredentialsManager::EraseAnyCredenialsNotAllowedByPolicy
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   .   {
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   .   .   CLinuxOnDiskCredentials::GetAllKeys
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   .   .   {
Mon 20 Nov 2023 16:20:07 <<<<< T:1FD7C780 main   .   .   .   .   .   .   Throwable created: CLinuxSystemException :Failed to open Map file.
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   .   .   .   .   Caught exception: Failed to open Map file.
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   .   .   .   CLinuxOnDiskCredentials::EraseAll
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   .   .   .   {
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   .   .   .   .   .   .   }
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   .   .   .   .   .   }
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   .   .   .   .   }
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   .   .   .   }
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   CRememberUsernameManager::CRememberUsernameManager
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   {
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   .   .   key=https://office.rku-it.de/
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   .   .   Not allowed
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   .   CLinuxOnDiskCredentials::EraseAll
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   .   {
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   .   .   .   .   }
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   .   .   .   }
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   CClientPersistentStorageManager::CClientPersistentStorageManager m_TableKey='https://office.rku-it.de/nf/auth/startWebview.do/'
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   {
Mon 20 Nov 2023 16:20:07     < T:1FD7C780 main   .   .   .   }
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   .   Making the next request to the server
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   CTranslatingHttpTransaction::SendAndReceive - direct connection
Mon 20 Nov 2023 16:20:07     > T:1FD7C780 main   .   .   .   {
Mon 20 Nov 2023 16:20:07       T:1FD7C780 main   .   .   .   .   actual url='https://office.rku-it.de/nf/auth/startWebview.do'
